STATION,NAME,LATITUDE,LONGITUDE,ZIPCODE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,TSUN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11
USC00301102,"CALLICOON CENTER, NY US",41.82737,-74.95065,12766,372.2,6/1/2020,0,44.5,59,30,,,,,,,,,,,
USC00303087,"FULTON, NY US",43.3049,-76.3938,13069,109.7,6/1/2020,0,53,58,48,,,,,,,,,,,
USC00308910,"WALES, NY US",42.7392,-78.5878,14139,345.9,6/1/2020,0,51,58,44,,,,,,,,,,,
USC00303955,"HONEOYE, NY US",42.79148,-77.51331,14471,243.8,6/1/2020,0,49,58,40,,,,,,,,,,,
USC00301708,"CONKLINGVILLE DAM, NY US",43.3203,-73.9256,12835,246.3,6/1/2020,0,48.5,58,39,,,,,,,,,,,
USC00306196,"OLEAN, NY US",42.0737,-78.4518,14760,432.8,6/1/2020,0,48,58,38,,,,,,,,,,,
USC00303983,"HORNELL ALMOND DAM, NY US",42.3488,-77.7044,14843,403.9,6/1/2020,0,48,58,38,,,,,,,,,,,
USC00309442,"WHITNEY POINT DAM, NY US",42.3419,-75.9653,13862,317,6/1/2020,0,47.5,58,37,,,,,,,,,,,
USC00306085,"NORWICH, NY US",42.5117,-75.5197,13815,301.4,6/1/2020,0,47,58,36,,,,,,,,,,,
USC00308455,"THERESA 4 NW, NY US",44.27543,-75.83689,13691,110,6/1/2020,0,46.5,58,35,,,,,,,,,,,
USC00301787,"CORNING, NY US",42.1341,-77.0691,14830,349.6,6/1/2020,0,46.5,58,35,,,,,,,,,,,
USC00304731,"LIBERTY 1 NE, NY US",41.8017,-74.74,12754,481.6,6/1/2020,0,46,58,34,,,,,,,,,,,
USC00302366,"EAST JEWETT, NY US",42.23432,-74.14436,12424,606.9,6/1/2020,0,44,58,30,,,,,,,,,,,
USC00301595,"COBLESKILL 2 ESE, NY US",42.66717,-74.44239,12043,356.3,6/1/2020,0,44,58,30,,,,,,,,,,,
USC00305597,"MOUNT MORRIS 2 W, NY US",42.7313,-77.9054,14510,268.2,6/1/2020,0,51,57,45,,,,,,,,,,,
USC00300085,"ALFRED, NY US",42.27985,-77.76643,14803,586.4,6/1/2020,0,49,57,41,,,,,,,,,,,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",42.44915,-76.44905,14850,292.6,6/1/2020,0,47.5,57,38,,,,,,,,,,,
USC00301110,"CAMDEN, NY US",43.3305,-75.8416,13316,176.8,6/1/2020,0,47,57,37,,,,,,,,,,,
USC00304912,"LOWVILLE, NY US",43.7929,-75.4829,13367,263,6/1/2020,0,47,57,37,,,,,,,,,,,
USC00309072,"WELLSVILLE, NY US",42.1173,-77.9475,14895,460.2,6/1/2020,0,46,57,35,,,,,,,,,,,
USC00308932,"WALTON 2, NY US",42.1847,-75.1455,13856,451.1,6/1/2020,0,44,57,31,,,,,,,,,,,
USC00301966,"DANNEMORA, NY US",44.7192,-73.7205,12918,408.4,6/1/2020,0,46.5,56,37,,,,,,,,,,,
USC00307705,"SHERBURNE, NY US",42.6773,-75.5066,13460,333.8,6/1/2020,0,46.5,56,37,,,,1,,,,,,,
USC00300093,"ALLEGANY STATE PARK, NY US",42.1003,-78.7497,14779,457.2,6/1/2020,0,46,56,36,,,,,,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",44.913,-73.8223,12935,289.6,6/1/2020,0,45,56,34,,,,,,,,,,,
USC00302036,"DELHI 2 SE, NY US",42.2533,-74.905,13753,445,6/1/2020,0,43,56,30,,,,,,,,,,,
USC00301625,"COLDEN 1 W, NY US",42.6472,-78.7111,14033,467.9,6/1/2020,0,49,55,43,,1,,,,,,,,,
USC00309593,"WYOMING 3 W, NY US",42.82025,-78.14782,14591,475.2,6/1/2020,0,48.5,55,42,,,,,,,,,,,
USC00303050,"FREEVILLE 1 NE, NY US",42.5178,-76.3351,13068,317.6,6/1/2020,0,46.5,55,38,,,,,,,,,,,
USC00305233,"MECKLENBURG 4 SW, NY US",42.4422,-76.7586,14818,460.2,6/1/2020,0,46,55,37,,,,,,,,,,,
USC00305113,"EMMONS, NY US",42.4694,-75.0105,13820,373.4,6/1/2020,0,44,55,33,,,,,,,,,,,
USC00308962,"WARSAW 6 SW, NY US",42.6855,-78.2202,14569,554.7,6/1/2020,0,48,54,42,,,,,,,,,,,
USC00301664,"COLTON 2 N, NY US",44.5842,-74.9573,13676,176.8,6/1/2020,0,45.5,54,37,,,,,,,,,,,
USC00304808,"LITTLE VALLEY, NY US",42.2473,-78.8125,14755,495.3,6/1/2020,0,44.5,53,36,,,,,,,,,,,
USC00303322,"GLOVERSVILLE 7 NW PECK LAKE, NY US",43.115,-74.4236,12078,443.5,6/1/2020,0,43.5,53,34,,,,,,,,,,,
USC00300331,"AURORA RESEARCH FARM, NY US",42.7338,-76.6591,13026,253,6/1/2020,0,48,52,44,,,,,,,,,,,
USC00300785,"BOONVILLE 4 SSW, NY US",43.4361,-75.3697,13309,472.4,6/1/2020,0,44,52,36,,,,,,,,,,,
USC00303851,"HIGHMARKET 2 W, NY US",43.60514,-75.55438,13325,549.9,6/1/2020,0,42,51,33,,1,1,,,,,,,,
USC00307842,"SODUS 1 W, NY US",43.2359,-77.0841,14551,135.3,6/1/2020,0,44,50,38,,,,,,,,,,,
USC00308631,"TUPPER LAKE SUNMOUNT, NY US",44.2307,-74.4382,12986,512.1,6/1/2020,0,39.5,48,31,,,,,,,,,,,
USW00094725,"MASSENA INTERNATIONAL AIRPORT, NY US",44.93583,-74.84583,13662,65.2,6/1/2020,0.01,50,62,38,,,,,,,,,,,
USC00304555,"LAKE PLACID 2 S, NY US",44.3042,-73.9839,12946,575.5,6/1/2020,0.01,38.5,46,31,,,,,,,,,,,
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",43.04121,-73.82109,12866,99.4,6/1/2020,0.02,51.5,65,38,,1,1,,,,,,,,
USC00309000,"WATERTOWN, NY US",43.9761,-75.8753,13601,151.5,6/1/2020,0.02,47,55,39,,1,,,,,,,,,
USC00304996,"MALONE, NY US",44.8418,-74.306,12953,267.6,6/1/2020,0.02,43,52,34,,,,,,,,,,,
USW00094740,"SARANAC LAKE ADIRONDACK REGIONAL AIRPORT, NY US",44.38528,-74.20667,12983,506.9,6/1/2020,0.03,40,54,26,,,,,,,,,,,
USC00305714,"NEWCOMB, NY US",43.9707,-74.222,12852,502,6/1/2020,0.12,40,48,32,,,,,,,,,,,
USC00304102,"INDIAN LAKE 2 SW, NY US",43.75477,-74.27558,12842,509,6/1/2020,0.12,39,48,30,,,,,,,,,,,
USC00303346,"GOUVERNEUR 3 NW, NY US",44.354,-75.5123,13642,128,6/1/2020,0.16,45,56,34,,,,1,,,,,,,
USC00302169,"DOWNSVILLE DAM, NY US",42.0772,-74.9827,13775,365.8,6/1/2020,0.5,51,64,38,,,,,,,,,,,
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,13438,243.8,6/1/2020,0.77,60,84,36,,,,,,,,,,,
USC00300668,"BIG MOOSE 3 SE, NY US",43.8176,-74.87263,13331,591.3,6/1/2020,0,57.5,83,32,,,,,,,,,,,
USC00308248,"STILLWATER RESERVOIR, NY US",43.89131,-75.03612,13420,515.1,6/1/2020,0,55,77,33,,,,,,,,,,,
USC00302151,"MOLLOY CERCOM, NY US",40.7211,-73.0908,11796,1.5,6/1/2020,0,58,70,46,,,,,,,,,,,
USC00305426,"MOHONK LAKE, NY US",41.7681,-74.155,12561,379.5,6/1/2020,0,54,66,42,,,,,,,,,,,
USW00014743,"CANTON 4 SE, NY US",44.5772,-75.1097,13617,136.6,6/1/2020,0,48,59,37,,,,,,,,,,,
USC00306164,"OGDENSBURG 4 NE, NY US",44.7281,-75.4442,13669,85.3,6/1/2020,0,49,57,41,,,,,,,,,,,
USC00305512,"MORRISVILLE 6 SW, NY US",42.8416,-75.7263,13061,512.4,6/1/2020,0,45,53,37,,,,,,,,,,,
USW00014750,"GLENS FALLS AIRPORT, NY US",43.33845,-73.61028,12804,97.8,6/2/2020,0,52,67,38,,,,,,,,,,,
USR0000NSCH,"SCHROON LAKE NEW YORK, NY US",43.8,-73.7,12870,249.9,6/2/2020,0,54,68,38,,,,,,,,,,,
USW00004725,"BINGHAMTON GREATER AP, NY US",42.2068,-75.98,13790,486.2,6/2/2020,0.21,56,62,50,,,,,,,,,,,
USR0000NSAR,"SARA NEW YORK, NY US",43.0078,-73.6511,12170,114.3,6/2/2020,0,56,71,42,,,,,,,,,,,
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,13460,335.3,6/2/2020,0,57,67,44,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,12110,85.3,6/2/2020,0.03,58,71,45,,,,,,,,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,14225,218.2,6/2/2020,1.04,59,69,53,,,,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,13211,125.9,6/2/2020,0.3,61,68,55,,,,,,,,,,,
USR0000NGAN,"GANG MILLS NEW YORK, NY US",42.1,-77.1,14830,335.3,6/2/2020,0,61,74,49,,,,,,,,,,,
USW00004781,"ISLIP LI MACARTHUR AIRPORT, NY US",40.79388,-73.10189,11779,25.6,6/2/2020,0,62,73,53,,,,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",43.11722,-77.67541,14624,164.3,6/2/2020,0.02,62,74,54,,,,,,,,,,,
USR0000NSTO,"STONYKILL NEW YORK, NY US",41.5,-73.9,12524,61,6/2/2020,0,62,72,47,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,11096,3.4,6/2/2020,0,64,75,54,,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,11371,3.4,6/2/2020,0,68,76,63,,,,,,,,,,,
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",42.49333,-79.27222,14048,203,6/2/2020,0,68.5,80,57,,,,,,,,,,,
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73417,-73.41694,11735,24.7,6/2/2020,0,66,76,56,,,,,,,,,,,
USC00304844,"LOCKPORT 4 E, NY US",43.18769,-78.60912,14067,185.9,6/2/2020,0,65,75,55,,,,,,,,,,,
USW00094704,"DANSVILLE MUNICIPAL AIRPORT, NY US",42.57083,-77.71333,14437,208.8,6/2/2020,0,64.5,75,54,,,,,,,,,,,
USC00300055,"ALBION, NY US",43.26338,-78.21527,14411,143.9,6/2/2020,0,61.5,75,48,,1,,,,,,,,,
USC00309049,"WEBSTER 2 NE, NY US",43.2419,-77.3882,14580,83.8,6/2/2020,0,65.5,74,57,,,,,,,,,,,
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",42.15944,-76.89194,14844,291.1,6/2/2020,0,61.5,74,49,,1,,,,,,,,,
USW00014719,"WESTHAMPTON GABRESKI AIRPORT, NY US",40.84361,-72.63222,11978,20.4,6/2/2020,0,56.5,74,39,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,10024,42.7,6/2/2020,0,65.5,72,59,,1,1,,,,,,,,
USC00303773,"HEMLOCK, NY US",42.7743,-77.6083,14466,274.9,6/2/2020,0,64,72,56,,,,,,,,,,,
USC00300443,"BATAVIA, NY US",43.02966,-78.16822,14020,278.3,6/2/2020,0,63.5,71,56,,,,,,,,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",41.06236,-73.70463,10604,111.9,6/2/2020,0,61.5,71,52,,,,,,,,,,,
USC00300937,"BROCKPORT, NY US",43.216,-77.9529,14420,151.8,6/2/2020,0,60.5,71,50,,,,,,,,,,,
USC00301974,"DANSVILLE, NY US",42.56477,-77.71762,14437,201.2,6/2/2020,0,56.5,71,42,,,,,,,,,,,
USC00302610,"ELMIRA, NY US",42.0997,-76.8358,14905,288.6,6/2/2020,0,56,71,41,,,,,,,,,,,
USC00309047,"WAVERLY, NY US",42.00193,-76.52497,14892,243.8,6/2/2020,0,55.5,71,40,,,,,,,,,,,
USC00301152,"CANANDAIGUA 3 S, NY US",42.84505,-77.28071,14424,219.5,6/2/2020,0,61.5,70,53,,,,,,,,,,,
USC00307134,"RIVERHEAD RESEARCH FARM, NY US",40.96245,-72.71612,11901,30.5,6/2/2020,0,60.5,70,51,,,1,,,,,,,,
USC00300343,"AVON, NY US",42.9203,-77.7557,14414,166.1,6/2/2020,0,60,70,50,,,,,,,,,,,
USW00054780,"MONTAUK AIRPORT, NY US",41.07306,-71.92333,11954,2.1,6/2/2020,0,59.5,70,49,,,,,,,,,,,
USC00305142,"MATTITUCK, NY US",40.98849,-72.51034,11952,6.1,6/2/2020,0,59,70,48,,,,,,,,,,,
USC00300321,"AUBURN, NY US",42.9327,-76.5447,13021,234.7,6/2/2020,0,57.5,70,45,,,,,,,,,,,
USC00306047,"NORTH TONAWANDA, NY US",43.05734,-78.86171,14120,176.2,6/2/2020,0,59,69,49,,,,,,,,,,,
USC00301309,"CENTERPORT, NY US",40.88345,-73.37309,11721,9.1,6/2/2020,0,59,69,49,,,,,,,,,,,
USC00306525,"PERRYSBURG, NY US",42.4647,-79.003,14129,368.8,6/2/2020,0,56.5,69,44,,,,,,,,,,,
USC00306774,"PORT JERVIS, NY US",41.3891,-74.6905,12771,176.8,6/2/2020,0,56.5,69,44,,,,,,,,,,,
USC00307742,"SHRUB OAK, NY US",41.3325,-73.837,10588,140.8,6/2/2020,0,55,69,41,,,,,,,,,,,
USC00303983,"HORNELL ALMOND DAM, NY US",42.3488,-77.7044,14843,403.9,6/2/2020,0,54,69,39,,,,,,,,,,,
USC00300183,"ANGELICA, NY US",42.3108,-78.023,14709,449.6,6/2/2020,0,53.5,69,38,,,,,,,,,,,
USC00305597,"MOUNT MORRIS 2 W, NY US",42.7313,-77.9054,14510,268.2,6/2/2020,0,59,68,50,,,,,,,,,,,
USC00308577,"SYOSSET, NY US",40.8216,-73.4908,11791,80.8,6/2/2020,0,59,68,50,,,,,,,,,,,
USC00303955,"HONEOYE, NY US",42.79148,-77.51331,14471,243.8,6/2/2020,0,59,68,50,,,,,,,,,,,
USC00300364,"BAITING HOLLOW, NY US",40.93446,-72.74079,11933,21.3,6/2/2020,0,57,68,46,,,,,,,,,,,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",42.44915,-76.44905,14850,292.6,6/2/2020,0,55.5,68,43,,1,1,,,,,,,,
USC00302031,"DELANSON 2 NE, NY US",42.7672,-74.1711,12053,299.9,6/2/2020,0,55,68,42,,,,,,,,,,,
USC00301787,"CORNING, NY US",42.1341,-77.0691,14830,349.6,6/2/2020,0,53,68,38,,,,,,,,,,,
USC00300331,"AURORA RESEARCH FARM, NY US",42.7338,-76.6591,13026,253,6/2/2020,0,57,67,47,,,,,,,,,,,
USC00300085,"ALFRED, NY US",42.27985,-77.76643,14803,586.4,6/2/2020,0,55.5,67,44,,,,,,,,,,,
USW00094725,"MASSENA INTERNATIONAL AIRPORT, NY US",44.93583,-74.84583,13662,65.2,6/2/2020,0,55.5,67,44,,,,,,,,,,,
USC00309442,"WHITNEY POINT DAM, NY US",42.3419,-75.9653,13862,317,6/2/2020,0,54,67,41,,1,1,,,,,,,,
USC00309072,"WELLSVILLE, NY US",42.1173,-77.9475,14895,460.2,6/2/2020,0,51,67,35,,1,1,,,,,,,,
USC00308910,"WALES, NY US",42.7392,-78.5878,14139,345.9,6/2/2020,0,57.5,66,49,,,,,,,,,,,
USC00302197,"DUNKIRK, NY US",42.4718,-79.33371,14048,192.3,6/2/2020,0,57.5,66,49,,,,,,,,,,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",40.8656,-72.8643,11973,24.4,6/2/2020,0,57,66,48,,,,,,,,,,,
USC00306276,"ORIENT POINT STATE PARK, NY US",41.1321,-72.2584,11957,0.9,6/2/2020,0,56,66,46,,,,,,,,,,,
USC00303050,"FREEVILLE 1 NE, NY US",42.5178,-76.3351,13068,317.6,6/2/2020,0,56,66,46,,,,,,,,,,,
USC00307520,"SCHOHARIE, NY US",42.665,-74.3036,12157,223.7,6/2/2020,0,54,66,42,,,,,,,,,,,
USC00305233,"MECKLENBURG 4 SW, NY US",42.4422,-76.7586,14818,460.2,6/2/2020,0,54,66,42,,,,,,,,,,,
USC00306085,"NORWICH, NY US",42.5117,-75.5197,13815,301.4,6/2/2020,0,51.5,66,37,,,,,,,,,,,
