06/08/20,41.06236,-73.70463,12546,0,77,51
06/01/20,42.74722,-73.79912,12580,0,68,41
06/02/20,42.74722,-73.79912,12580,0.03,71,45
06/03/20,42.74722,-73.79912,12580,0,81,58
06/04/20,42.74722,-73.79912,12580,0,90,59
06/05/20,42.74722,-73.79912,12580,0.07,85,71
06/06/20,42.74722,-73.79912,12580,0,86,60
06/07/20,42.74722,-73.79912,12580,0,75,54
06/08/20,42.74722,-73.79912,12580,0,81,49
06/01/20,42.665,-74.3036,12758,0,60,40
06/02/20,42.665,-74.3036,12758,0,66,42
06/05/20,42.665,-74.3036,12758,0,84,66
06/06/20,42.665,-74.3036,12758,0,86,66
06/07/20,42.665,-74.3036,12758,0,83,54
06/08/20,42.665,-74.3036,12758,0,74,46
06/01/20,43.0078,-73.6511,12758,0,66,38
06/02/20,43.0078,-73.6511,12758,0,71,42
06/03/20,43.0078,-73.6511,12776,0,81,56
06/04/20,43.0078,-73.6511,12776,0,89,58
06/05/20,43.0078,-73.6511,12776,0,89,65
06/06/20,43.0078,-73.6511,12776,0,88,53
06/07/20,43.0078,-73.6511,12776,0,74,49
06/08/20,43.0078,-73.6511,12776,0,84,45
06/01/20,42.23432,-74.14436,12776,0,58,30
06/02/20,42.23432,-74.14436,12776,0.01,60,36
06/03/20,42.23432,-74.14436,12812,0.06,61,45
06/04/20,42.23432,-74.14436,12812,0,72,49
06/05/20,42.23432,-74.14436,12812,0.02,81,54
06/06/20,42.23432,-74.14436,12812,0,82,56
06/07/20,42.23432,-74.14436,12812,0.01,79,50
06/08/20,42.23432,-74.14436,12812,0,64,37
06/01/20,41.5,-73.9,12812,0,70,41
06/02/20,41.5,-73.9,12812,0,72,47
06/03/20,41.5,-73.9,12819,0,83,58
06/04/20,41.5,-73.9,12819,0,88,63
06/05/20,41.5,-73.9,12819,0,82,67
06/06/20,41.5,-73.9,12819,0,88,59
06/07/20,41.5,-73.9,12819,0,75,51
06/08/20,41.5,-73.9,12819,0,83,48
06/01/20,41.7857,-73.7422,12819,0,67,35
06/02/20,41.7857,-73.7422,12819,0.01,67,40
06/03/20,41.7857,-73.7422,12831,0,80,55
06/04/20,41.7857,-73.7422,12831,0,87,57
06/05/20,41.7857,-73.7422,12831,0.02,83,65
06/06/20,41.7857,-73.7422,12831,0,86,57
06/07/20,41.7857,-73.7422,12831,0,72,49
06/08/20,41.7857,-73.7422,12831,0,78,42
06/01/20,41.50917,-74.265,12831,0,69,38
06/02/20,41.50917,-74.265,12831,0.01,70,44
06/03/20,41.50917,-74.265,12842,0.6,81,53
06/04/20,41.50917,-74.265,12842,0.01,83,56
06/05/20,41.50917,-74.265,12842,0.03,81,64
06/06/20,41.50917,-74.265,12842,0.03,86,60
06/07/20,41.50917,-74.265,12842,0,75,50
06/08/20,41.50917,-74.265,12842,0,79,45
06/01/20,41.7681,-74.155,12842,0,66,42
06/02/20,41.7681,-74.155,12842,0,67,51
06/03/20,41.7681,-74.155,12845,0,79,55
06/04/20,41.7681,-74.155,12845,0,86,61
06/05/20,41.7681,-74.155,12845,0,83,64
06/06/20,41.7681,-74.155,12845,0,85,66
06/07/20,41.7681,-74.155,12845,0,84,54
